record_id,doi,pmid,title,is_oa,oa_status,best_oa_url,best_oa_pdf_url,host_type,license,updated
CogliatiV2022222,10.3390/life12030378,,How to Treat HR+/HER2-Metastatic Breast Cancer Patients after CDK4/6 Inhibitors: An Unfinished Story,True,gold,https://www.mdpi.com/2075-1729/12/3/378/pdf?version=1646475598,https://www.mdpi.com/2075-1729/12/3/378/pdf?version=1646475598,publisher,cc-by,2025-12-01T22:21:40Z
CristofanilliM2016427,10.1016/S1470-2045(15)00613-0,,"Fulvestrant plus palbociclib versus fulvestrant plus placebo for treatment of hormone-receptor-positive, HER2-negative metastatic breast cancer that progressed on previous endocrine therapy (PALOMA-3): final analysis of the multicentre, double-blind, phase 3 randomised controlled trial",False,closed,,,,,2025-10-28T20:11:18Z
CristofanilliM2018366,10.1016/j.ejca.2018.08.011,,Predictors of prolonged benefit from palbociclib plus fulvestrant in women with endocrine-resistant hormone receptor–positive/human epidermal growth factor receptor 2–negative metastatic breast cancer in PALOMA-3,True,hybrid,http://www.ejcancer.com/article/S0959804918311481/pdf,http://www.ejcancer.com/article/S0959804918311481/pdf,publisher,cc-by-nc-nd,2025-10-23T16:56:47Z
DavisAA2023160,10.1158/1078-0432.CCR-22-2177,,Genomic Complexity Predicts Resistance to Endocrine Therapy and CDK4/6 Inhibition in Hormone Receptor–Positive (HRþ)/HER2-Negative Metastatic Breast Cancer,True,hybrid,https://aacrjournals.org/clincancerres/article-pdf/doi/10.1158/1078-0432.CCR-22-2177/3284008/ccr-22-2177.pdf,https://aacrjournals.org/clincancerres/article-pdf/doi/10.1158/1078-0432.CCR-22-2177/3284008/ccr-22-2177.pdf,publisher,cc-by-nc-nd,2026-01-10T04:46:20Z
DegenhardtT2023138,10.1186/s13063-023-07306-z,,"PRECYCLE: multicenter, randomized phase IV intergroup trial to evaluate the impact of eHealth-based patient-reported outcome (PRO) assessment on quality of life in patients with hormone receptor positive, HER2 negative locally advanced or metastatic breast cancer treated with palbociclib and an aromatase inhibitor or palbociclib and fulvestrant",True,gold,https://trialsjournal.biomedcentral.com/counter/pdf/10.1186/s13063-023-07306-z,https://trialsjournal.biomedcentral.com/counter/pdf/10.1186/s13063-023-07306-z,publisher,cc-by,2025-12-01T22:21:40Z
ElenaCM202529,10.1016/j.clbc.2025.05.003,,"A Phase 2, Open Label, Multicenter, Single Arm Trial Evaluating the Activity and Safety of Abemaciclib + Aromatase Inhibitors (AIs) as Second-Line Treatment After First-Line Fulvestrant in Hormone-Receptor-Positive (HR+), Human-Epidermal-Growth-Factor-Receptor-Negative (HER2-) Metastatic Breast Cancer (MBC) Patients. Final Results of HERMIONE-7 Trial",False,closed,,,,,2025-08-04T14:10:34Z
Fernandez2021Everolimus,10.1002/onco.13595,33373062,Everolimus Plus Exemestane Treatment in Patients with Metastatic Hormone Receptor-Positive Breast Cancer Previously Treated with CDK4/6 Inhibitor Therapy,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/onco.13595,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/onco.13595,publisher,cc-by-nc-nd,2025-12-01T22:21:40Z
GerratanaL202511,10.1158/1078-0432.CCR-25-0327,,Circulating Tumor Cell Dynamics after CDK4/6 Inhibitor for Hormone Receptor–Positive Metastatic Breast Cancer: A Biomarker Analysis from the PACE Phase II Study,False,closed,,,,,2025-09-21T02:39:14Z
GiulianiJ2020296,10.1177/1078155220934531,,The introduction of a third CDK4/6 inhibitor does not change the cost-effectiveness profile in first and subsequent-lines after progression or relapse during previous endocrine therapy in patients with hormone receptor positive (HR+)/human epidermal receptor-2 negative (HER-2) advanced or metastatic breast cancer,False,closed,,,,,2025-05-22T18:42:22Z
GuarducciC2017402,10.1159/000484167,,Mechanisms of Resistance to CDK4/6 Inhibitors in Breast Cancer and Potential Biomarkers of Response,True,bronze,https://www.karger.com/Article/Pdf/484167,https://www.karger.com/Article/Pdf/484167,publisher,None,2025-10-23T16:56:47Z
GuerreroZotano2023163,10.1158/1078-0432.CCR-22-2206,,CCNE1 and PLK1 Mediate Resistance to Palbociclib in HR+/HER2- Metastatic Breast Cancer,True,hybrid,https://aacrjournals.org/clincancerres/article-pdf/doi/10.1158/1078-0432.CCR-22-2206/3278836/ccr-22-2206.pdf,https://aacrjournals.org/clincancerres/article-pdf/doi/10.1158/1078-0432.CCR-22-2206/3278836/ccr-22-2206.pdf,publisher,cc-by-nc-nd,2026-01-06T03:47:31Z
HoraniM202337860199,10.3389/fonc.2023.1272602,37860199,"Treatment options for patients with hormone receptor-positive, HER2-negative advanced-stage breast cancer: maintaining cyclin-dependent kinase 4/6 inhibitors beyond progression.",True,gold,https://www.frontiersin.org/articles/10.3389/fonc.2023.1272602/pdf?isPublishedV2=False,https://www.frontiersin.org/articles/10.3389/fonc.2023.1272602/pdf?isPublishedV2=False,publisher,cc-by,2026-01-10T04:46:20Z
Hurvitz2024EMERALD,10.1158/1078-0432.CCR-24-0251,39087959,"Elacestrant in ER+, HER2- Metastatic Breast Cancer with ESR1-Mutated Tumors: Subgroup Analyses from the Phase III EMERALD Trial by Prior Duration of Endocrine Therapy plus CDK4/6 Inhibitor and in Clinical Subgroups",False,closed,,,,,2025-05-22T18:42:22Z
JeselsohnR202540714513,10.1016/j.esmoop.2025.105506,40714513,Circulating tumor DNA mutational landscape and dynamics after progression on a CDK4/6 inhibitor in the PACE phase II trial for metastatic HR-positive/HER2-negative breast cancer.,True,gold,https://www.esmoopen.com/article/S2059-7029(25)01375-4/pdf,https://www.esmoopen.com/article/S2059-7029(25)01375-4/pdf,publisher,None,2026-01-02T01:19:43Z
JhaveriKL202541391667,10.1016/j.annonc.2025.11.018,41391667,Imlunestrant with or without abemaciclib in advanced breast cancer: updated efficacy results from the phase III EMBER-3 trial.,True,bronze,https://www.annalsofoncology.org/article/S0923-7534(25)06289-1/pdf,https://www.annalsofoncology.org/article/S0923-7534(25)06289-1/pdf,publisher,None,2026-01-10T04:46:20Z
KalinskyK2023153,10.1200/JCO.22.02392,,"Randomized Phase II Trial of Endocrine Therapy with or Without Ribociclib after Progression on Cyclin-Dependent Kinase 4/6 Inhibition in Hormone Receptora-Positive, Human Epidermal Growth Factor Receptor 2a-Negative Metastatic Breast Cancer: MAINTAIN Trial",False,closed,,,,,2025-06-20T04:27:11Z
KalinskyK202547,10.1200/JCO-24-02086,,Abemaciclib Plus Fulvestrant in Advanced Breast Cancer after Progression on CDK4/6 Inhibition: Results from the Phase III postMONARCH Trial,True,hybrid,https://doi.org/10.1200/jco-24-02086,None,publisher,cc-by-nc-nd,2026-01-15T02:17:35Z
KettnerNM20252,10.1038/s41698-025-01041-1,,"IL-6 predicts CDK4/6 inhibitor resistance, identifying STAT3 as a target in HR + /HER2-negative metastatic breast cancer",True,gold,https://www.nature.com/articles/s41698-025-01041-1.pdf,https://www.nature.com/articles/s41698-025-01041-1.pdf,publisher,cc-by-nc-nd,2025-12-19T21:20:07Z
KharenkoOA2022207,10.1038/s41417-021-00375-9,,Combination of ZEN-3694 with CDK4/6 inhibitors reverses acquired resistance to CDK4/6 inhibitors in ER-positive breast cancer,False,closed,,,,,2025-05-22T18:42:22Z
LeeJ2021277,10.20538/1682-0363-2021-2-6-11,,"Implications of tamoxifen resistance in palbociclib efficacy for patients with hormone receptor-positive, her2-negative metastatic breast cancer: Subgroup analyses of kcsg-br15-10 (youngpearl)",True,gold,https://bulletin.tomsk.ru/jour/article/download/4371/2979,https://bulletin.tomsk.ru/jour/article/download/4371/2979,publisher,cc-by,2025-12-01T22:21:40Z
LiC2021275,10.2147/OTT.S298720,,"Advances in therapy for hormone receptor (Hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced breast cancer patients who have experienced progression after treatment with cdk4/6 inhibitors",True,gold,https://www.dovepress.com/getfile.php?fileID=69030,https://www.dovepress.com/getfile.php?fileID=69030,publisher,cc-by-nc,2025-12-01T22:21:40Z
LindemanGJ202235583555,10.1158/1078-0432.CCR-21-3811,35583555,"VERONICA: Randomized Phase II Study of Fulvestrant and Venetoclax in ER-Positive Metastatic Breast Cancer Post-CDK4/6 Inhibitors - Efficacy, Safety, and Biomarker Results.",True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/9662928,None,repository,other-oa,2025-10-23T16:56:47Z
LlombartCussacA202537,10.1200/JCO-24-01865,,Second-Line Endocrine Therapy With or Without Palbociclib Rechallenge in Patients With Hormone Receptor-Positive/Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer: PALMIRA Trial,True,hybrid,https://doi.org/10.1200/jco-24-01865,None,publisher,cc-by-nc-nd,2026-01-15T02:17:35Z
MartinJM2022212,10.1093/oncolo/oyac075,,Systemic Therapies Following Progression on First-line CDK4/6-inhibitor Treatment: Analysis of Real-world Data,True,gold,https://academic.oup.com/oncolo/article-pdf/27/6/441/43984423/oyac075.pdf,https://academic.oup.com/oncolo/article-pdf/27/6/441/43984423/oyac075.pdf,publisher,cc-by,2025-12-01T22:21:40Z
MartinM2021266,10.1016/j.annonc.2020.12.013,,"Palbociclib in combination with endocrine therapy versus capecitabine in hormonal receptor-positive, human epidermal growth factor 2-negative, aromatase inhibitor-resistant metastatic breast cancer: a phase III randomised controlled trial—PEARL",True,hybrid,https://doi.org/10.1016/j.annonc.2020.12.013,None,publisher,cc-by-nc-nd,2026-01-06T03:47:31Z
MayerEL202498,10.1200/JCO.23.01940,,"PACE: A Randomized Phase II Study of Fulvestrant, Palbociclib, and Avelumab After Progression on Cyclin-Dependent Kinase 4/6 Inhibitor and Aromatase Inhibitor for Hormone Receptor-Positive/Human Epidermal Growth Factor Receptor-Negative Metastatic Breast Cancer",False,closed,,,,,2025-06-20T04:27:11Z
NakayamaT2020302,10.2217/fon-2020-0326,,"Therapy options after CDK4/6 inhibitors for HR+, HER2- postmenopausal metastatic/recurrent breast cancer in Japan: A role for mammalian target of rapamycin inhibitors?",True,hybrid,https://doi.org/10.2217/fon-2020-0326,None,publisher,cc-by-nc-nd,2025-09-06T02:51:56Z
OgataN202550,10.3390/cancers17050884,,Efficiency of Fulvestrant Monotherapy After CDK4/6 Inhibitor Exposure: Is This a Viable Choice?,True,gold,https://www.mdpi.com/2072-6694/17/5/884/pdf?version=1741146561,https://www.mdpi.com/2072-6694/17/5/884/pdf?version=1741146561,publisher,cc-by,2025-11-06T05:33:38Z
OliveiraM202488,10.1016/S1470-2045(24)00373-5,,"Capivasertib and fulvestrant for patients with hormone receptor-positive, HER2-negative advanced breast cancer (CAPItello-291): patient-reported outcomes from a phase 3, randomised, double-blind, placebo-controlled trial",False,closed,,,,,2025-08-17T18:46:03Z
PalumboR2023179,10.7573/dic.2023-7-5,,"Efficacy and activity of treatments after progression from palbociclib plus endocrine therapy in patients with HR+/HER2- metastatic breast cancer: a prospective, monocentric study",True,gold,https://www.drugsincontext.com/wp-content/uploads/2024/02/dic.2023-7-5.pdf,https://www.drugsincontext.com/wp-content/uploads/2024/02/dic.2023-7-5.pdf,publisher,cc-by-nc-nd,2026-01-10T04:46:20Z
PrestiD2019335,10.3390/cancers11091242,,The PI3K/AKT/mTOR and CDK4/6 pathways in endocrine resistant HR+/HER2- metastatic breast cancer: Biological mechanisms and new treatments,True,gold,https://www.mdpi.com/2072-6694/11/9/1242/pdf?version=1566637890,https://www.mdpi.com/2072-6694/11/9/1242/pdf?version=1566637890,publisher,cc-by,2025-12-01T22:21:40Z
RavaniLV202541,10.1200/OP-24-00649,,Efficacy of Subsequent Treatments After Disease Progression on CDK4/6 Inhibitors in Patients With Hormone Receptor-Positive Advanced Breast Cancer,False,closed,,,,,2025-06-20T04:27:11Z
Rugo2024TROPION,10.1200/JCO.24.00920,39265124,Datopotamab Deruxtecan Versus Chemotherapy in Previously Treated Inoperable/Metastatic Hormone Receptor-Positive Human Epidermal Growth Factor Receptor 2-Negative Breast Cancer: Primary Results From TROPION-Breast01,True,hybrid,https://doi.org/10.1200/jco.24.00920,None,publisher,cc-by-nc-nd,2026-01-16T01:10:40Z
RugoHS2023146,10.1016/S0140-6736(23)01245-X,,"Overall survival with sacituzumab govitecan in hormone receptor-positive and human epidermal growth factor receptor 2-negative metastatic breast cancer (TROPiCS-02): a randomised, open-label, multicentre, phase 3 trial",True,hybrid,http://www.thelancet.com/article/S014067362301245X/pdf,http://www.thelancet.com/article/S014067362301245X/pdf,publisher,cc-by-nc-nd,2025-12-19T21:20:07Z
RugoHS202490,10.1093/oncolo/oyae088,,Health-related quality of life with sacituzumab govitecan in HR+/HER2- metastatic breast cancer in the phase III TROPiCS-02 trial,True,gold,https://academic.oup.com/oncolo/advance-article-pdf/doi/10.1093/oncolo/oyae088/57677936/oyae088.pdf,https://academic.oup.com/oncolo/advance-article-pdf/doi/10.1093/oncolo/oyae088/57677936/oyae088.pdf,publisher,cc-by-nc,2026-01-13T16:36:47Z
RugoHS202540896879,10.1016/j.esmoop.2025.105570,40896879,Real-world progression-free survival of CDK4/6 inhibitors plus an aromatase inhibitor in HR-positive/HER2-negative metastatic breast cancer in United States routine clinical practice.,True,gold,https://doi.org/10.1016/j.esmoop.2025.105570,None,publisher,cc-by,2025-12-10T03:52:38Z
SledgeGW2017406,10.1200/JCO.2017.73.7585,,MONARCH 2: Abemaciclib in combination with fulvestrant in women with HR+/HER2-advanced breast cancer who had progressed while receiving endocrine therapy,True,green,https://ascopubs.org/doi/10.1200/JCO.2017.73.7585,None,repository,cc-by-nc-nd,2026-01-10T04:46:20Z
SledgeGW202031563959,10.1001/jamaoncol.2019.4782,31563959,"The Effect of Abemaciclib Plus Fulvestrant on Overall Survival in Hormone Receptor-Positive, ERBB2-Negative Breast Cancer That Progressed on Endocrine Therapy-MONARCH 2: A Randomized Clinical Trial.",True,hybrid,https://jamanetwork.com/journals/jamaoncology/articlepdf/2752266/jamaoncology_sledge_2019_oi_190093.pdf,https://jamanetwork.com/journals/jamaoncology/articlepdf/2752266/jamaoncology_sledge_2019_oi_190093.pdf,publisher,cc-by-nc-nd,2025-12-10T03:52:38Z
SnchezBayonaR202493,10.1007/s10549-024-07324-8,,Everolimus plus endocrine therapy beyond CDK4/6 inhibitors progression for HR+ /HER2− advanced breast cancer: a real-world evidence cohort,False,closed,,,,,2025-05-22T18:42:22Z
TakeshitaT2024109,10.1016/j.esmoop.2024.102385,,Identifying prognostic biomarkers for palbociclib add-on therapy in fulvestrant-resistant breast cancer using cell-free DNA sequencing,True,gold,http://www.esmoopen.com/article/S2059702924001534/pdf,http://www.esmoopen.com/article/S2059702924001534/pdf,publisher,cc-by-nc-nd,2026-01-11T01:49:12Z
TokunagaE202539379782,10.1007/s12282-024-01640-z,39379782,Capivasertib and fulvestrant for patients with HR-positive/HER2-negative advanced breast cancer: analysis of the subgroup of patients from Japan in the phase 3 CAPItello-291 trial.,True,hybrid,https://link.springer.com/content/pdf/10.1007/s12282-024-01640-z.pdf,https://link.springer.com/content/pdf/10.1007/s12282-024-01640-z.pdf,publisher,cc-by,2026-01-14T02:41:26Z
